id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,1.0,4.0," Oh, I always pick the dodgy trolley.","[50414, 876, 11, 286, 1009, 1888, 264, 13886, 1480, 20680, 2030, 13, 50564]",0.0,-0.39635413885116577,1.0357142686843872,0.20355448126792908
1,0,12.0,14.0, It really does have a mind of its own.,"[50964, 467, 534, 775, 362, 257, 1575, 295, 1080, 1065, 13, 51064]",0.0,-0.39635413885116577,1.0357142686843872,0.20355448126792908
2,0,20.0,21.0, Not my car!,"[51364, 1726, 452, 1032, 0, 51414]",0.0,-0.39635413885116577,1.0357142686843872,0.20355448126792908
3,3000,31.0,33.0," Don't worry, you've got insurance solved.","[50414, 1468, 380, 3292, 11, 291, 600, 658, 7214, 13041, 13, 50514]",0.0,-0.20966321229934692,1.692307710647583,0.06905471533536911
4,3000,33.0,35.0," After all, you've got a lifetime guarantee","[50514, 2381, 439, 11, 291, 600, 658, 257, 11364, 10815, 50614]",0.0,-0.20966321229934692,1.692307710647583,0.06905471533536911
5,3000,35.0,37.0, on all authorised repairs from Budget Direct.,"[50614, 322, 439, 3793, 2640, 28823, 490, 33751, 18308, 13, 50714]",0.0,-0.20966321229934692,1.692307710647583,0.06905471533536911
6,3000,37.0,39.0," And you've saved a pretty penny, too.","[50714, 400, 291, 600, 6624, 257, 1238, 24178, 11, 886, 13, 50814]",0.0,-0.20966321229934692,1.692307710647583,0.06905471533536911
7,3000,39.0,40.0," Nice one, Chief.","[50814, 5490, 472, 11, 10068, 13, 50864]",0.0,-0.20966321229934692,1.692307710647583,0.06905471533536911
8,3000,40.0,42.0, Lifetime guarantee on authorised repairs.,"[50864, 31946, 9764, 10815, 322, 3793, 2640, 28823, 13, 50964]",0.0,-0.20966321229934692,1.692307710647583,0.06905471533536911
9,3000,42.0,44.0, Insurance solved with Budget Direct.,"[50964, 39971, 13041, 365, 33751, 18308, 13, 51064]",0.0,-0.20966321229934692,1.692307710647583,0.06905471533536911
